Prefix,Code,Type,Line,Station
0100,00192973,地铁,广佛线,菊树
0100,00192974,地铁,广佛线,菊树
0100,00192975,地铁,广佛线,菊树
0100,00192976,地铁,广佛线,菊树
0100,00192977,地铁,广佛线,菊树
0100,00192978,地铁,广佛线,菊树
0100,00192980,地铁,广佛线,西塱
0100,00192981,地铁,广佛线,西塱
0100,00192982,地铁,广佛线,西塱
0100,00192983,地铁,广佛线,西塱
0100,00192984,地铁,广佛线,西塱
0100,00192987,地铁,广佛线,西塱
0100,00192989,地铁,广佛线,西塱
0100,00192990,地铁,广佛线,西塱
0100,00192992,地铁,广佛线,鹤洞
0100,00192993,地铁,广佛线,鹤洞
0100,00192994,地铁,广佛线,鹤洞
0100,00192995,地铁,广佛线,鹤洞
0100,00192996,地铁,广佛线,鹤洞
0100,00192997,地铁,广佛线,鹤洞
0100,00192998,地铁,广佛线,鹤洞
0100,00192999,地铁,广佛线,鹤洞
0100,00193000,地铁,广佛线,沙涌
0100,00193001,地铁,广佛线,沙涌
0100,00193002,地铁,广佛线,沙涌
0100,00193003,地铁,广佛线,沙涌
0100,00193004,地铁,广佛线,沙涌
0100,00193005,地铁,广佛线,沙涌
0100,00193006,地铁,广佛线,沙涌
0100,00193007,地铁,广佛线,沙涌
0100,00193008,地铁,广佛线,燕岗
0100,00193009,地铁,广佛线,燕岗
0100,00193010,地铁,广佛线,燕岗
0100,00193011,地铁,广佛线,燕岗
0100,00193012,地铁,广佛线,燕岗
0100,00193013,地铁,广佛线,燕岗
0100,00193014,地铁,广佛线,燕岗
0100,00193015,地铁,广佛线,燕岗
0100,00193016,地铁,广佛线,澜石
0100,00193017,地铁,广佛线,澜石
0100,00193018,地铁,广佛线,澜石
0100,00193019,地铁,广佛线,澜石
0100,00193020,地铁,广佛线,澜石
0100,00193021,地铁,广佛线,澜石
0100,00193022,地铁,广佛线,澜石
0100,00193023,地铁,广佛线,澜石
0100,00193024,地铁,广佛线,世纪莲
0100,00193025,地铁,广佛线,世纪莲
0100,00193026,地铁,广佛线,世纪莲
0100,00193027,地铁,广佛线,世纪莲
0100,00193028,地铁,广佛线,世纪莲
0100,00193029,地铁,广佛线,世纪莲
0100,00193030,地铁,广佛线,世纪莲
0100,00193031,地铁,广佛线,世纪莲
0100,00193032,地铁,广佛线,东平
0100,00193033,地铁,广佛线,东平
0100,00193034,地铁,广佛线,东平
0100,00193035,地铁,广佛线,东平
0100,00193036,地铁,广佛线,东平
